cohort,ready_grad,absences,enrollments,expulsions,suspensions,read,math,school_read,school_math
2011,not_ready,5,1,0,0,-0.36687260098437424,-0.07635810873527128,0.7168319108835891,0.7343467764101427
2011,not_ready,6,1,0,0,-0.8498294189748588,-1.510248908516259,-0.10302022433632158,-0.2466381273026141
2011,not_ready,7,1,0,0,-0.09976364140169212,0.013638299555347887,0.23676737872619502,0.42673693344812763
2011,not_ready,22,1,0,0,0.5654573117401661,0.2638770078106171,0.31708565581479087,0.33900877735138674
2011,ready,3,1,0,0,0.407625877802877,0.8386974126586603,0.15674383644475465,0.623182885992756
2011,ready,5,1,0,0,0.22462408525427496,1.2540218080797745,0.09669899911429285,0.2676400280925413
2011,not_ready,12,2,0,0,0.5624126293711075,-0.10257299165281404,0.07619395795441379,0.13660039635495336
2011,not_ready,9,1,0,1,0.23634974981556775,-0.8368069899456236,-0.5654702752867383,-0.4407243363575343
2011,not_ready,12,1,0,0,-1.7778267634449507,-1.25847331537291,0.10836228151003979,0.27467801140858517
2011,not_ready,46,1,0,3,-1.5260597178848714,-2.0546647872788615,-0.015887369968947365,0.011825712075236847
2011,not_ready,30,1,0,14,-1.878304802011896,-2.0494425050221996,-0.38407534069373794,-0.5490885433525468
2011,not_ready,1,1,0,0,-1.197298287014041,-0.6817041210844471,-0.1670625497589816,0.03917453380548523
2011,not_ready,1,1,0,1,0.32887013243184754,0.6362779639288478,0.43885957266219966,0.32561244175555365
2011,not_ready,3,1,0,0,-0.8610322554862356,-1.16393557672699,-0.6230281850244679,-0.3829603774846695
2011,not_ready,3,1,0,1,0.419196818715371,0.14678596347499007,-0.15876258841323249,0.016261597826303903
2011,ready,0,1,0,0,0.3120096714810427,0.40170748016866464,0.43885957266219966,0.32561244175555365
2011,not_ready,4,2,0,2,-1.7098474344581551,-4.0185251666828865,-0.5461811157335917,-0.4605619158829657
2011,ready,15,2,0,0,0.2466993533742296,0.4061887324652875,0.1891622031693424,0.37761736696918086
2011,not_ready,1,1,0,0,-0.33255411877873126,-0.47969845739265726,0.0958070559572309,0.45255880821180905
2011,not_ready,10,2,0,5,-0.9915075399394033,-1.0732582813327918,-0.26886249636149395,-0.5219936178155459
2011,not_ready,14,2,0,1,-1.6973833278885089,-1.3663833481590753,0.46276383140214006,0.49767878591745734
2011,not_ready,0,1,0,0,-0.3220231321742899,0.3269905909879706,-0.8909995787214806,-0.5219927740536009
2011,ready,1,1,0,0,0.2452428265062095,-0.12770528029840883,0.7168319108835891,0.7343467764101427
2011,ready,10,1,0,1,0.23021604409636226,0.06089953551759737,0.05851331551675896,-0.18466138578370855
2011,not_ready,5,1,0,0,-0.051153872998849256,-0.44003963873463137,0.13499708409989397,0.040986004766319806
2011,not_ready,7,1,0,0,-0.9789799655899285,-0.9729308518914315,-0.3351764467184566,-0.19721286668702923
2011,ready,3,2,0,0,1.721783668908604,0.5969734689689977,0.11551932647408049,-0.021060333770261633
2011,not_ready,27,2,0,0,0.4799372823928818,0.18154210795965056,0.43885957266219966,0.32561244175555365
2011,ready,6,1,0,0,0.8287851612875229,0.516350478711191,-0.5278338556441228,-0.5704417104113171
2011,not_ready,1,1,0,0,-1.7098096399059115,-0.9008940410200185,0.05851331551675896,-0.18466138578370855
2011,not_ready,15,1,0,0,0.48105110959681285,1.1537469837982006,-0.049127228120763394,0.11542072974335063
2011,not_ready,11,1,0,0,0.10600333799820806,0.19111579218280197,0.19602301505474412,0.12289992159126986
